ACCIDENT_NUMBER,EVENT_DATE,YEAR,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
ERA19LA245,8/11/2019,2019,ALLENTOWN, PA,40.652222,-75.440555,NON-FATAL,SUBSTANTIAL,HELICOPTER,SCHWEIZER,269C,0,2,0
GAA19CA493,8/10/2019,2019,CHINO, CA,33.974723,-117.636389,NON-FATAL,SUBSTANTIAL,AIRPLANE,NORTH AMERICAN,AT 6D,0,0,2
GAA19CA491,8/10/2019,2019,FRANKLIN, PA,41.3775,-79.860556,NON-FATAL,SUBSTANTIAL,AIRPLANE,CONSOLIDATED VULTEE,BT13,0,0,2
CEN19LA262,8/10/2019,2019,NEWARK, OH,40.024723,-82.461944,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIETENPOL,AIRCAMPER,0,1,0
GAA19CA489,8/10/2019,2019,TWO HARBORS, MN,47.049166,-91.745277,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,180,0,0,2
GAA19CA558,8/9/2019,2019,CHICAGO, IL,41.785833,-87.7525,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,2
CEN19LA264,8/9/2019,2019,CORDELL, OK,35.291944,-98.969723,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,150,0,1,0
WPR19FA215,8/9/2019,2019,ONTARIO, OR,44.025834,-117.028334,FATAL(1),SUBSTANTIAL,AIRPLANE,NORTH AMERICAN,T28A,1,1,0
WPR19LA217,8/9/2019,2019,PROSPECT, OR,42.65,-122.325,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,206,0,0,2
WPR19LA228,8/9/2019,2019,GALT, CA,38.258056,-121.375,NON-FATAL,SUBSTANTIAL,BALLOON,HEAD,AX9-118,0,1,0
ERA19FA240,8/8/2019,2019,HATBORO, PA,40.1725,-75.08,FATAL(3),DESTROYED,AIRPLANE,BEECH,F33,3,0,0
